SampleUnit,GRTS,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent,State_County1,State_County1_Percent,State_County2,State_County2_Percent,State_County3,State_County3_Percent,State_County4,State_County4_Percent,BroadHabitat_Class,BroadHabitat_Form
107509,33,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Lemhi,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
89379,58,California,100.00,NA,0.00,NA,0.00,California_Tehama,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
129206,81,Washington,100.00,NA,0.00,NA,0.00,Washington_Jefferson,70.77,Washington_Clallam,29.23,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
128781,97,Washington,100.00,NA,0.00,NA,0.00,Washington_Okanogan,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
53759,102,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
81974,106,California,100.00,NA,0.00,NA,0.00,California_Placer,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
113025,113,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Morrow,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
53282,118,California,100.00,NA,0.00,NA,0.00,California_Orange,98.43,California_Los Angeles,1.57,NA,0.00,NA,0.00,Developed & Other Human Use,Developed & Urban
96806,122,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Lake,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Temperate Flooded & Swamp Forest
95024,138,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Caribou,57.74,Idaho_Bingham,42.26,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
105134,145,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Klamath,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
116264,161,Washington,100.00,NA,0.00,NA,0.00,Washington_Klickitat,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
96313,170,California,100.00,NA,0.00,NA,0.00,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
